protocol,policy,seed,step,expected_level,reward,cumulative_reward,successful_event,cumulative_complexity,cumulative_exponential_complexity,complexity_unique,task_level_max,inventory,health,hunger
controlled,idle,2,2,0,0.003000000026077032,0.009000000078231096,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,3,0,0.003000000026077032,0.012000000104308128,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,4,0,0.003000000026077032,0.01500000013038516,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,5,0,0.003000000026077032,0.018000000156462193,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,6,0,0.003000000026077032,0.021000000182539225,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,7,0,0.003000000026077032,0.024000000208616257,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,0,0,0.003000000026077032,0.003000000026077032,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,1,0,0.003000000026077032,0.006000000052154064,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,2,0,0.003000000026077032,0.009000000078231096,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,3,0,0.003000000026077032,0.012000000104308128,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,4,0,0.003000000026077032,0.01500000013038516,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,5,0,0.003000000026077032,0.018000000156462193,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,6,0,0.003000000026077032,0.021000000182539225,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,3,7,0,0.003000000026077032,0.024000000208616257,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,0,1,0.032999999821186066,0.032999999821186066,move_new_cell:3,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,1,1,0.003000000026077032,0.0359999998472631,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,2,1,0.003000000026077032,0.03899999987334013,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,3,1,0.003000000026077032,0.04199999989941716,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,4,1,0.003000000026077032,0.044999999925494194,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,5,1,0.003000000026077032,0.047999999951571226,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,6,1,0.003000000026077032,0.05099999997764826,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,1,7,1,0.003000000026077032,0.05400000000372529,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,0,1,0.032999999821186066,0.032999999821186066,move_new_cell:3,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,1,1,0.003000000026077032,0.0359999998472631,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,2,1,0.003000000026077032,0.03899999987334013,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,3,1,0.003000000026077032,0.04199999989941716,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,4,1,0.003000000026077032,0.044999999925494194,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,5,1,0.003000000026077032,0.047999999951571226,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,6,1,0.003000000026077032,0.05099999997764826,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,2,7,1,0.003000000026077032,0.05400000000372529,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,0,1,0.032999999821186066,0.032999999821186066,move_new_cell:3,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,1,1,0.003000000026077032,0.0359999998472631,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,2,1,0.003000000026077032,0.03899999987334013,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,3,1,0.003000000026077032,0.04199999989941716,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,4,1,0.003000000026077032,0.044999999925494194,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,5,1,0.003000000026077032,0.047999999951571226,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,6,1,0.003000000026077032,0.05099999997764826,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,explore,3,7,1,0.003000000026077032,0.05400000000372529,,3.0,3.0,3.0,1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,0,2,3.003000259399414,3.003000259399414,harvest_wood:3,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,1,2,0.003000000026077032,3.006000259425491,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,2,2,0.003000000026077032,3.009000259451568,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,3,2,0.003000000026077032,3.012000259477645,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,4,2,0.003000000026077032,3.015000259503722,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,5,2,0.003000000026077032,3.0180002595297992,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,6,2,0.003000000026077032,3.0210002595558763,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,1,7,2,0.003000000026077032,3.0240002595819533,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,0,2,3.003000259399414,3.003000259399414,harvest_wood:3,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,1,2,0.003000000026077032,3.006000259425491,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,2,2,0.003000000026077032,3.009000259451568,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,3,2,0.003000000026077032,3.012000259477645,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,4,2,0.003000000026077032,3.015000259503722,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,5,2,0.003000000026077032,3.0180002595297992,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,6,2,0.003000000026077032,3.0210002595558763,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,2,7,2,0.003000000026077032,3.0240002595819533,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,0,2,3.003000259399414,3.003000259399414,harvest_wood:3,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,1,2,0.003000000026077032,3.006000259425491,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,2,2,0.003000000026077032,3.009000259451568,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,3,2,0.003000000026077032,3.012000259477645,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,4,2,0.003000000026077032,3.015000259503722,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,5,2,0.003000000026077032,3.0180002595297992,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,6,2,0.003000000026077032,3.0210002595558763,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,harvest_wood,3,7,2,0.003000000026077032,3.0240002595819533,,6.0,6.0,6.0,2,"[[1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,0,3,24.003002166748047,24.003002166748047,craft_plank:3,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,1,3,0.003000000026077032,24.006002166774124,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,2,3,0.003000000026077032,24.0090021668002,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,3,3,0.003000000026077032,24.012002166826278,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,4,3,0.003000000026077032,24.015002166852355,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,5,3,0.003000000026077032,24.018002166878432,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,6,3,0.003000000026077032,24.02100216690451,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,1,7,3,0.003000000026077032,24.024002166930586,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,0,3,24.003002166748047,24.003002166748047,craft_plank:3,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,1,3,0.003000000026077032,24.006002166774124,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,2,3,0.003000000026077032,24.0090021668002,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,3,3,0.003000000026077032,24.012002166826278,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,4,3,0.003000000026077032,24.015002166852355,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,5,3,0.003000000026077032,24.018002166878432,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,6,3,0.003000000026077032,24.02100216690451,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,2,7,3,0.003000000026077032,24.024002166930586,,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,craft_plank,3,0,3,24.003002166748047,24.003002166748047,craft_plank:3,9.0,12.0,12.0,3,"[[0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
